Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,iso_alpha,text
"
North America
",11967725,7395.0,362361.0,570.0,7823233.0,5535.0,3782131.0,21991.0,0.0,0.0,0.0,0.0,0.0,North America,North America<br>Active Cases 3782131<br>Total Deaths 362361
"
Asia
",14245057,9068.0,252439.0,69.0,12714098.0,6918.0,1278520.0,22853.0,0.0,0.0,0.0,0.0,0.0,Asia,Asia<br>Active Cases 1278520<br>Total Deaths 252439
"
South America
",9924296,142.0,301020.0,13.0,8879872.0,513.0,743404.0,17774.0,0.0,0.0,0.0,0.0,0.0,South America,South America<br>Active Cases 743404<br>Total Deaths 301020
"
Europe
",11641137,19449.0,287675.0,375.0,4257469.0,9311.0,7095993.0,25828.0,0.0,0.0,0.0,0.0,0.0,Europe,Europe<br>Active Cases 7095993<br>Total Deaths 287675
"
Africa
",1866079,0.0,44540.0,0.0,1560777.0,0.0,260762.0,2423.0,0.0,0.0,0.0,0.0,0.0,Africa,Africa<br>Active Cases 260762<br>Total Deaths 44540
"
Oceania
",40296,7.0,980.0,0.0,32829.0,10.0,6487.0,26.0,0.0,0.0,0.0,0.0,0.0,Oceania,Oceania<br>Active Cases 6487<br>Total Deaths 980
"

",721,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,,<br>Active Cases 47<br>Total Deaths 15
Ecuador,172508,0.0,12761.0,0.0,149048.0,0.0,10699.0,333.0,9726.0,719.0,563159.0,31752.0,17736206.0,ECU,Ecuador<br>Active Cases 10699<br>Total Deaths 12761
Portugal,166900,0.0,2792.0,0.0,93754.0,0.0,70354.0,340.0,16385.0,274.0,3642907.0,357633.0,10186152.0,PRT,Portugal<br>Active Cases 70354<br>Total Deaths 2792
Sweden,146461,0.0,6022.0,0.0,0.0,0.0,0.0,92.0,14470.0,595.0,2431770.0,240260.0,10121397.0,SWE,Sweden<br>Active Cases 0<br>Total Deaths 6022
Bolivia,142343,142.0,8781.0,13.0,113899.0,513.0,19663.0,71.0,12137.0,749.0,338006.0,28819.0,11728491.0,BOL,Bolivia<br>Active Cases 19663<br>Total Deaths 8781
UAE,139891,0.0,510.0,0.0,136936.0,0.0,2445.0,0.0,14085.0,51.0,13850488.0,1394516.0,9932110.0,ARE,UAE<br>Active Cases 2445<br>Total Deaths 510
Austria,138979,0.0,1340.0,0.0,83707.0,0.0,53932.0,421.0,15400.0,148.0,2396015.0,265502.0,9024470.0,AUT,Austria<br>Active Cases 53932<br>Total Deaths 1340
Panama,137760,0.0,2770.0,0.0,115990.0,0.0,19000.0,128.0,31754.0,638.0,701637.0,161728.0,4338367.0,PAN,Panama<br>Active Cases 19000<br>Total Deaths 2770
Qatar,133811,0.0,232.0,0.0,130881.0,0.0,2698.0,39.0,47657.0,83.0,1007050.0,358661.0,2807805.0,QAT,Qatar<br>Active Cases 2698<br>Total Deaths 232
Kuwait,130463,0.0,804.0,0.0,121263.0,0.0,8396.0,115.0,30393.0,187.0,955447.0,222583.0,4292542.0,KWT,Kuwait<br>Active Cases 8396<br>Total Deaths 804
Dominican Republic,129300,0.0,2261.0,0.0,107038.0,0.0,20001.0,175.0,11878.0,208.0,616366.0,56620.0,10885972.0,DOM,Dominican Republic<br>Active Cases 20001<br>Total Deaths 2261
Oman,117167,0.0,1286.0,0.0,107368.0,0.0,8513.0,145.0,22746.0,250.0,376700.0,73129.0,5151197.0,OMN,Oman<br>Active Cases 8513<br>Total Deaths 1286
Kazakhstan,115439,613.0,1857.0,0.0,107530.0,191.0,6052.0,221.0,6122.0,98.0,3645655.0,193351.0,18855109.0,KAZ,Kazakhstan<br>Active Cases 6052<br>Total Deaths 1857
Costa Rica,115417,0.0,1453.0,0.0,70421.0,0.0,43543.0,170.0,22585.0,284.0,326539.0,63897.0,5110411.0,CRI,Costa Rica<br>Active Cases 43543<br>Total Deaths 1453
Guatemala,110502,0.0,3794.0,0.0,100319.0,0.0,6389.0,5.0,6129.0,210.0,451077.0,25018.0,18030321.0,GTM,Guatemala<br>Active Cases 6389<br>Total Deaths 3794
Egypt,108754,0.0,6343.0,0.0,100106.0,0.0,2305.0,41.0,1056.0,62.0,135000.0,1311.0,103002425.0,EGY,Egypt<br>Active Cases 2305<br>Total Deaths 6343
Japan,104782,0.0,1806.0,0.0,95756.0,0.0,7220.0,189.0,829.0,14.0,2818683.0,22310.0,126338964.0,JPN,Japan<br>Active Cases 7220<br>Total Deaths 1806
Belarus,104286,0.0,1001.0,0.0,89555.0,0.0,13730.0,0.0,11038.0,106.0,2628891.0,278242.0,9448222.0,BLR,Belarus<br>Active Cases 13730<br>Total Deaths 1001
Armenia,104249,2476.0,1533.0,27.0,63258.0,1476.0,39458.0,0.0,35158.0,517.0,434026.0,146373.0,2965199.0,ARM,Armenia<br>Active Cases 39458<br>Total Deaths 1533
Jordan,101248,0.0,1136.0,0.0,8506.0,0.0,91606.0,382.0,9889.0,111.0,2003989.0,195729.0,10238579.0,JOR,Jordan<br>Active Cases 91606<br>Total Deaths 1136
Hungary,99625,0.0,2250.0,0.0,23213.0,0.0,74162.0,391.0,10322.0,233.0,1167641.0,120978.0,9651645.0,HUN,Hungary<br>Active Cases 74162<br>Total Deaths 2250
Honduras,99576,229.0,2741.0,5.0,42609.0,35.0,54226.0,24.0,9998.0,275.0,231650.0,23260.0,9959331.0,HND,Honduras<br>Active Cases 54226<br>Total Deaths 2741
Ethiopia,98746,0.0,1512.0,0.0,58103.0,0.0,39131.0,332.0,852.0,13.0,1514869.0,13066.0,115941703.0,ETH,Ethiopia<br>Active Cases 39131<br>Total Deaths 1512
Venezuela,94305,0.0,821.0,0.0,89099.0,0.0,4385.0,117.0,3320.0,29.0,2186865.0,76982.0,28407335.0,VEN,Venezuela<br>Active Cases 4385<br>Total Deaths 821
Lebanon,91328,0.0,700.0,0.0,45820.0,0.0,44808.0,274.0,13402.0,103.0,1302138.0,191081.0,6814574.0,LBN,Lebanon<br>Active Cases 44808<br>Total Deaths 700
Bahrain,83023,0.0,328.0,0.0,80526.0,0.0,2169.0,20.0,48224.0,191.0,1814090.0,1053710.0,1721621.0,BHR,Bahrain<br>Active Cases 2169<br>Total Deaths 328
Moldova,80501,0.0,1882.0,0.0,60220.0,0.0,18399.0,814.0,19972.0,467.0,389127.0,96542.0,4030636.0,MDA,Moldova<br>Active Cases 18399<br>Total Deaths 1882
Bulgaria,72184,0.0,1576.0,0.0,23436.0,0.0,47172.0,257.0,10416.0,227.0,784575.0,113218.0,6929781.0,BGR,Bulgaria<br>Active Cases 47172<br>Total Deaths 1576
Slovakia,71088,0.0,317.0,0.0,16990.0,0.0,53781.0,218.0,13018.0,58.0,870094.0,159341.0,5460577.0,SVK,Slovakia<br>Active Cases 53781<br>Total Deaths 317
Uzbekistan,68367,228.0,580.0,1.0,65550.0,217.0,2237.0,257.0,2032.0,17.0,1377915.0,40963.0,33638004.0,UZB,Uzbekistan<br>Active Cases 2237<br>Total Deaths 580
Paraguay,66481,0.0,1472.0,0.0,46466.0,0.0,18543.0,114.0,9281.0,205.0,380237.0,53083.0,7163110.0,PRY,Paraguay<br>Active Cases 18543<br>Total Deaths 1472
Libya,66444,0.0,915.0,0.0,38624.0,0.0,26905.0,0.0,9624.0,133.0,339650.0,49197.0,6903844.0,LBY,Libya<br>Active Cases 26905<br>Total Deaths 915
Tunisia,66334,0.0,1577.0,0.0,36727.0,0.0,28030.0,269.0,5592.0,133.0,368787.0,31090.0,11861866.0,TUN,Tunisia<br>Active Cases 28030<br>Total Deaths 1577
Ireland,64538,0.0,1940.0,0.0,23364.0,0.0,39234.0,37.0,13019.0,391.0,1703661.0,343684.0,4957058.0,IRL,Ireland<br>Active Cases 39234<br>Total Deaths 1940
Nigeria,63731,0.0,1155.0,0.0,59844.0,0.0,2732.0,10.0,307.0,6.0,673183.0,3238.0,207894460.0,NGA,Nigeria<br>Active Cases 2732<br>Total Deaths 1155
Azerbaijan,62338,0.0,811.0,0.0,47270.0,0.0,14257.0,0.0,6129.0,80.0,1417368.0,139351.0,10171192.0,AZE,Azerbaijan<br>Active Cases 14257<br>Total Deaths 811
Croatia,62305,0.0,717.0,0.0,46021.0,0.0,15567.0,135.0,15210.0,175.0,541605.0,132220.0,4096247.0,HRV,Croatia<br>Active Cases 15567<br>Total Deaths 717
Kyrgyzstan,61748,0.0,1170.0,0.0,52855.0,0.0,7723.0,24.0,9411.0,178.0,430463.0,65604.0,6561560.0,KGZ,Kyrgyzstan<br>Active Cases 7723<br>Total Deaths 1170
Algeria,60800,0.0,2024.0,0.0,41510.0,0.0,17266.0,29.0,1378.0,46.0,0.0,0.0,44125379.0,DZA,Algeria<br>Active Cases 17266<br>Total Deaths 2024
Kenya,60704,0.0,1093.0,0.0,40131.0,0.0,19480.0,62.0,1120.0,20.0,730363.0,13480.0,54179575.0,KEN,Kenya<br>Active Cases 19480<br>Total Deaths 1093
Bosnia and Herzegovina,59427,0.0,1457.0,0.0,29970.0,0.0,28000.0,0.0,18154.0,445.0,336968.0,102937.0,3273547.0,BIH,Bosnia and Herzegovina<br>Active Cases 28000<br>Total Deaths 1457
Myanmar,59277,0.0,1376.0,0.0,43277.0,0.0,14624.0,0.0,1087.0,25.0,765399.0,14034.0,54537925.0,MMR,Myanmar<br>Active Cases 14624<br>Total Deaths 1376
Singapore,58047,0.0,28.0,0.0,57959.0,0.0,60.0,0.0,9895.0,5.0,3879052.0,661223.0,5866482.0,SGP,Singapore<br>Active Cases 60<br>Total Deaths 28
Serbia,57958,0.0,871.0,0.0,31536.0,0.0,25551.0,57.0,6643.0,100.0,1401663.0,160652.0,8724860.0,SRB,Serbia<br>Active Cases 25551<br>Total Deaths 871
Palestine,57226,0.0,511.0,0.0,49537.0,0.0,7178.0,0.0,11129.0,99.0,551948.0,107336.0,5142228.0,PSE,Palestine<br>Active Cases 7178<br>Total Deaths 511
Georgia,54852,2859.0,441.0,18.0,39773.0,2754.0,14638.0,0.0,13760.0,111.0,950253.0,238371.0,3986451.0,GEO,Georgia<br>Active Cases 14638<br>Total Deaths 441
Denmark,53180,0.0,738.0,0.0,38627.0,0.0,13815.0,23.0,9170.0,127.0,5666843.0,977144.0,5799393.0,DNK,Denmark<br>Active Cases 13815<br>Total Deaths 738
Greece,52254,0.0,715.0,0.0,9989.0,0.0,41550.0,196.0,5022.0,69.0,1902458.0,182842.0,10404938.0,GRC,Greece<br>Active Cases 41550<br>Total Deaths 715
Ghana,48788,0.0,320.0,0.0,47521.0,0.0,947.0,14.0,1559.0,10.0,543316.0,17360.0,31296852.0,GHA,Ghana<br>Active Cases 947<br>Total Deaths 320
Slovenia,42658,0.0,497.0,0.0,18825.0,0.0,23336.0,169.0,20518.0,239.0,393813.0,189421.0,2079039.0,SVN,Slovenia<br>Active Cases 23336<br>Total Deaths 497
Afghanistan,42033,58.0,1556.0,2.0,34446.0,6.0,6031.0,93.0,1071.0,40.0,125112.0,3189.0,39230359.0,AFG,Afghanistan<br>Active Cases 6031<br>Total Deaths 1556
Malaysia,38189,0.0,279.0,0.0,26380.0,0.0,11530.0,83.0,1175.0,9.0,2238559.0,68856.0,32510607.0,MYS,Malaysia<br>Active Cases 11530<br>Total Deaths 279
North Macedonia,37499,0.0,1096.0,0.0,22835.0,0.0,13568.0,25.0,17999.0,526.0,265528.0,127453.0,2083344.0,MKD,North Macedonia<br>Active Cases 13568<br>Total Deaths 1096
El Salvador,34966,0.0,1006.0,4.0,30941.0,0.0,3019.0,55.0,5381.0,155.0,490212.0,75444.0,6497723.0,SLV,El Salvador<br>Active Cases 3019<br>Total Deaths 1006
Australia,27650,5.0,907.0,0.0,25435.0,7.0,1308.0,1.0,1080.0,35.0,9058391.0,353799.0,25603210.0,AUS,Australia<br>Active Cases 1308<br>Total Deaths 907
S. Korea,27284,89.0,477.0,1.0,24910.0,89.0,1897.0,53.0,532.0,9.0,2697249.0,52594.0,51284787.0,KOR,S. Korea<br>Active Cases 1897<br>Total Deaths 477
